provincia,partido,localidad,suma_mb,count_suma_mb,adsl,cablemodem,dialup,fibraoptica,otros,satelital,wimax,wireless,total general,poblacion,telefoniafija,3g,4g,latitud,longitud
buenos aires,berisso,barrio el carmen (este),382.0,8.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,,,,,,
buenos aires,berisso,berisso,787.0,10.0,4198.0,12465.0,23.0,6195.0,29.0,0.0,0.0,368.0,23278.0,,,,,,
buenos aires,berisso,villa arguello,382.0,8.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,,,,,,
buenos aires,berisso,villa nueva,382.0,8.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,,,,,,
buenos aires,berisso,villa progreso,382.0,8.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,,,,,,
buenos aires,bolívar,hale,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,
buenos aires,bolívar,otros,2.0,2.0,,,,,,,,,,,,,,,
buenos aires,bolívar,paula,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,-36.5053183545527,-61.0243287245345
buenos aires,bolívar,pirovano,95.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,45.0,95.0,,,,,,
buenos aires,bolívar,san carlos de bolívar  (est. bolívar),1569.0,11.0,963.0,5122.0,2.0,0.0,0.0,0.0,0.0,255.0,6342.0,,,,,,
buenos aires,bolívar,urdampilleta,73.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,71.0,85.0,,,,,,
buenos aires,bragado,bragado,1334.0,14.0,674.0,4209.0,10.0,45.0,0.0,0.0,0.0,210.0,5148.0,,,,,,
buenos aires,bragado,comodoro py,222.0,4.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,2.0,222.0,,,,,,
buenos aires,bragado,general o'brien,435.0,3.0,321.0,0.0,0.0,83.0,0.0,0.0,0.0,31.0,435.0,,,,,,
buenos aires,bragado,irala,25.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,,,,,,
buenos aires,bragado,mechita (est. mecha),33.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,,,,,,
buenos aires,bragado,olascoaga,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,,,,,,
buenos aires,bragado,warnes,151.0,1.0,135.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,151.0,,,,,,
buenos aires,brandsen,coronel brandsen,3384.0,19.0,1805.0,5.0,0.0,1480.0,2.0,0.0,0.0,1135.0,4427.0,,,,,,
buenos aires,brandsen,jeppener,678.0,8.0,676.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,678.0,,,,,,
