año,trimestre,provincia,accesos por cada 100 hogares,banda ancha fija,dial up,total,adsl,cablemodem,fibra óptica,wireless,otros,total_fijo_xtipo_tecnologia_provincia,mbps (media de bajada),total_internet_fijo_provincias,suma_mb,count_suma_mb
2022,2,tierra del fuego,"99,86",53458.0,312,53770.0,12754,39837,403,125,651,53770.0,"10,97",53770.0,2603.0,16.0
2022,2,tucumán,"59,31",254497.0,30,254527.0,85893,15327,148823,3997,487,254527.0,"50,09",254527.0,1079.0,13.0
2022,1,buenos aires,"76,08",4549131.0,6293,4555424.0,392045,2728865,1242121,125521,66872,4555424.0,"62,51",4555424.0,3010.0,30.0
2022,1,capital federal,"111,8",1415378.0,2163,1417541.0,102290,1217225,62308,5784,29934,1417541.0,"88,22",1417541.0,2062.0,17.0
2022,1,catamarca,"58,21",62377.0,1,62378.0,14181,15517,29118,1328,2234,62378.0,"51,22",62378.0,2723.0,10.0
2022,1,chaco,"44,06",144114.0,5,144119.0,32391,64546,36662,8164,2356,144119.0,"45,84",144119.0,2984.0,12.0
2022,1,chubut,"88,05",170701.0,927,171628.0,44133,66667,9184,30592,21052,171628.0,"13,4",171628.0,1810.0,9.0
2022,1,córdoba,"85,76",1003729.0,74,1003803.0,195610,501799,235838,60843,9713,1003803.0,"49,89",1003803.0,1215.0,21.0
2022,1,corrientes,"47,64",142574.0,4,142578.0,40462,79093,10875,6774,5374,142578.0,"38,11",142578.0,1089.0,7.0
2022,1,entre ríos,"63,7",267904.0,22,267926.0,67159,138986,23091,26098,12592,267926.0,"35,59",267926.0,1453.0,8.0
2022,1,formosa,"34,96",54548.0,0,54548.0,16397,15927,5146,16876,202,54548.0,"30,28",54548.0,2523.0,12.0
2022,1,jujuy,"58,06",116509.0,0,116509.0,21307,60616,25949,4662,3975,116509.0,"27,69",116509.0,2174.0,10.0
2022,1,la pampa,"91,66",109560.0,172,109732.0,8003,58978,21739,19903,1109,109732.0,"14,84",109732.0,1271.0,10.0
2022,1,la rioja,"78,77",84299.0,4,84303.0,9103,59228,9546,6395,31,84303.0,"41,37",84303.0,3686.0,12.0
2022,1,mendoza,"48,74",274399.0,786,275185.0,49464,74145,123228,26969,1379,275185.0,"26,2",275185.0,1293.0,11.0
2022,1,misiones,"49,04",171508.0,0,171508.0,39147,91752,25178,7807,7624,171508.0,"41,87",171508.0,1140.0,14.0
2022,1,neuquén,"74,17",149208.0,471,149679.0,28443,73200,24193,23098,745,149679.0,"43,05",149679.0,3313.0,10.0
2022,1,río negro,"67,04",156821.0,553,157374.0,38662,45366,38037,16815,18494,157374.0,"31,09",157374.0,2482.0,10.0
2022,1,salta,"56,11",197510.0,5,197515.0,44714,98667,40994,5950,7190,197515.0,"36,71",197515.0,1234.0,9.0
2022,1,san juan,"43,55",87888.0,290,88178.0,34038,14449,11294,20723,7674,88178.0,"11,99",88178.0,4835.0,11.0
2022,1,san luis,"80,72",119659.0,185,119844.0,7987,11296,31,71809,28721,119844.0,"20,95",119844.0,3007.0,14.0
2022,1,santa cruz,"43,34",48898.0,204,49102.0,10537,23420,10766,3974,405,49102.0,"10,89",49102.0,3819.0,14.0
2022,1,santa fe,"77,3",870364.0,115,870479.0,213486,444609,146552,45261,20571,870479.0,"38,89",870479.0,2209.0,14.0
2022,1,santiago del estero,"47,17",116459.0,2,116461.0,18118,87979,1093,6349,2922,116461.0,"14,5",116461.0,3822.0,11.0
2022,1,tierra del fuego,"98,29",52298.0,313,52611.0,13031,38700,416,124,340,52611.0,"10,73",52611.0,2733.0,16.0
2022,1,tucumán,"57,39",245554.0,30,245584.0,92532,62396,86174,3995,487,245584.0,"47,24",245584.0,1429.0,13.0
2021,4,buenos aires,"75,66",4502772.0,6385,4509157.0,426325,2706506,1176024,126887,73415,4509157.0,"60,21",4509157.0,2810.0,29.0
2021,4,capital federal,"111,27",1409935.0,2184,1412119.0,111360,1205128,60005,5679,29947,1412119.0,"82,95",1412119.0,2068.0,17.0
2021,4,catamarca,"55,25",59089.0,1,59090.0,16385,13858,25100,1512,2235,59090.0,"46,38",59090.0,2648.0,11.0
2021,4,chaco,"44,05",143740.0,5,143745.0,35548,63145,34688,8005,2359,143745.0,"42,34",143745.0,2041.0,11.0
2021,4,chubut,"82,57",159364.0,944,160308.0,46361,57412,9655,28041,18839,160308.0,"9,08",160308.0,3409.0,10.0
2021,4,córdoba,"84,51",986693.0,77,986770.0,212011,487489,217214,61277,8779,986770.0,"46,36",986770.0,1807.0,21.0
2021,4,corrientes,"45,51",135908.0,4,135912.0,42523,71183,10138,6778,5290,135912.0,"35,77",135912.0,1152.0,7.0
2021,4,entre ríos,"63,16",265024.0,22,265046.0,70459,133387,23452,25022,12726,265046.0,"33,32",265046.0,1550.0,8.0
2021,4,formosa,"34,45",53663.0,- 0,53663.0,17211,15111,5151,16018,172,53663.0,"28,76",53663.0,2863.0,12.0
2021,4,jujuy,"56,92",113915.0,- 0,113915.0,22330,60511,24156,2927,3991,113915.0,"27,14",113915.0,2165.0,10.0
2021,4,la pampa,"89,57",106834.0,173,107007.0,8175,58000,20192,19286,1354,107007.0,"13,85",107007.0,1306.0,10.0
2021,4,la rioja,"77,92",83124.0,4,83128.0,10387,56651,9446,6613,31,83128.0,"39,7",83128.0,2844.0,11.0
2021,4,mendoza,"47,51",266783.0,804,267587.0,59842,71553,109667,24666,1859,267587.0,"22,23",267587.0,1317.0,11.0
2021,4,misiones,"49,06",171132.0,- 0,171132.0,41778,92068,22035,7649,7602,171132.0,"38,9",171132.0,2069.0,15.0
2021,4,neuquén,"73,3",146989.0,477,147466.0,29175,72761,23253,21531,746,147466.0,"40,09",147466.0,2570.0,9.0
2021,4,río negro,"65,69",153189.0,564,153753.0,42037,44495,32212,16558,18451,153753.0,"27,2",153753.0,2649.0,9.0
2021,4,salta,"56,81",199399.0,6,199405.0,46972,99808,39555,5882,7188,199405.0,"33,94",199405.0,1292.0,9.0
2021,4,san juan,"39,59",79667.0,291,79958.0,35868,13102,11072,11423,8493,79958.0,"11,05",79958.0,2822.0,12.0
2021,4,san luis,"80,3",118662.0,187,118849.0,8472,11064,30,70560,28723,118849.0,"20,91",118849.0,3027.0,14.0
2021,4,santa cruz,"43,05",48276.0,210,48486.0,10790,22902,10031,4346,417,48486.0,"8,99",48486.0,4082.0,16.0
2021,4,santa fe,"77,09",866265.0,176,866441.0,233427,444373,128856,43556,16229,866441.0,"36,02",866441.0,2085.0,12.0
2021,4,santiago del estero,"47,05",115859.0,2,115861.0,19032,86563,1088,6256,2922,115861.0,"13,84",115861.0,3796.0,11.0
2021,4,tierra del fuego,"98,4",52042.0,315,52357.0,13317,38148,426,124,342,52357.0,"10,7",52357.0,2261.0,15.0
2021,4,tucumán,"55,93",238609.0,30,238639.0,97830,59022,78790,2511,486,238639.0,"45,15",238639.0,1459.0,13.0
2021,3,buenos aires,"71,68",4246425.0,5184,4251609.0,585729,2595485,885613,120228,64554,4251609.0,"56,26",4251609.0,2709.0,29.0
2021,3,capital federal,"111,27",1411797.0,1608,1413405.0,142902,1192107,42966,6059,29371,1413405.0,"77,71",1413405.0,2069.0,18.0
2021,3,catamarca,"52,71",56253.0,1,56254.0,18413,11709,22331,1568,2233,56254.0,"43,43",56254.0,3458.0,12.0
2021,3,chaco,"42,96",139868.0,3,139871.0,38258,63659,27583,8018,2353,139871.0,"39,11",139871.0,2825.0,10.0
2021,3,chubut,"80,71",155266.0,800,156066.0,49269,55794,8946,23376,18681,156066.0,"8,18",156066.0,2601.0,12.0
2021,3,córdoba,"81,28",946726.0,62,946788.0,229275,477223,167495,57617,15178,946788.0,"41,93",946788.0,1581.0,20.0
2021,3,corrientes,"44,9",133816.0,3,133819.0,44805,69403,7542,6766,5303,133819.0,"32,17",133819.0,1498.0,8.0
2021,3,entre ríos,"62,18",260360.0,15,260375.0,74443,128752,20485,23500,13195,260375.0,"29,6",260375.0,612.0,7.0
2021,3,formosa,"33,96",52795.0,- 0,52795.0,18093,14111,4730,15690,171,52795.0,"26,69",52795.0,3214.0,12.0
2021,3,jujuy,"55,69",111158.0,- 0,111158.0,23554,60758,19926,2952,3968,111158.0,"25,98",111158.0,1362.0,11.0
2021,3,la pampa,"84,28",100371.0,116,100487.0,9015,57881,17817,14479,1295,100487.0,"12,99",100487.0,1524.0,15.0
2021,3,la rioja,"77,26",82157.0,3,82160.0,11329,54744,9444,6613,30,82160.0,"38,87",82160.0,2115.0,11.0
2021,3,mendoza,"45,55",255320.0,619,255939.0,91474,71247,70579,21811,828,255939.0,"13,37",255939.0,1923.0,12.0
2021,3,misiones,"45,57",158528.0,- 0,158528.0,43230,89469,10969,7198,7662,158528.0,"30,88",158528.0,2179.0,16.0
2021,3,neuquén,"69,71",139436.0,373,139809.0,29650,73794,16455,19270,640,139809.0,"38,34",139809.0,3009.0,12.0
2021,3,río negro,"61,97",144084.0,501,144585.0,47934,44519,18725,15031,18376,144585.0,"25,4",144585.0,1489.0,10.0
2021,3,salta,"55,96",195831.0,2,195833.0,49212,98318,36126,5724,6453,195833.0,"31,21",195833.0,1128.0,9.0
2021,3,san juan,"39,46",79227.0,256,79483.0,40072,12922,6670,11372,8447,79483.0,"7,04",79483.0,2718.0,15.0
2021,3,san luis,"79,87",117716.0,148,117864.0,8417,11884,27,68856,28680,117864.0,"21,7",117864.0,2886.0,14.0
2021,3,santa cruz,"43,75",48779.0,197,48976.0,12347,22961,6328,4269,3071,48976.0,"7,69",48976.0,4420.0,17.0
2021,3,santa fe,"75,02",841433.0,151,841584.0,245929,443156,93412,43447,15640,841584.0,"33,13",841584.0,2294.0,14.0
2021,3,santiago del estero,"47,0",115457.0,1,115458.0,19939,85535,909,6147,2928,115458.0,"13,35",115458.0,3803.0,11.0
2021,3,tierra del fuego,"94,95",49934.0,289,50223.0,12853,36958,6,16,390,50223.0,"9,52",50223.0,3338.0,15.0
2021,3,tucumán,"54,64",232447.0,25,232472.0,104489,53868,70964,2408,743,232472.0,"42,1",232472.0,1858.0,14.0
2021,2,buenos aires,"70,0",4127167.0,5184,4132351.0,603255,2503830,854173,113546,57547,4132351.0,"52,76",4132351.0,2604.0,27.0
2021,2,capital federal,"110,14",1398747.0,1608,1400355.0,148989,1175097,41318,5580,29371,1400355.0,"72,75",1400355.0,2062.0,18.0
2021,2,catamarca,"52,34",55743.0,1,55744.0,20305,9426,22331,1449,2233,55744.0,"42,19",55744.0,3189.0,12.0
2021,2,chaco,"43,33",140726.0,3,140729.0,39826,62948,27584,8018,2353,140729.0,"37,4",140729.0,2888.0,10.0
2021,2,chubut,"72,29",138412.0,825,139237.0,49271,41497,6081,23682,18706,139237.0,"7,68",139237.0,4376.0,13.0
2021,2,córdoba,"80,12",930818.0,62,930880.0,239780,467782,151855,55944,15519,930880.0,"39,59",930880.0,1483.0,20.0
2021,2,corrientes,"43,54",129498.0,3,129501.0,46648,67262,3731,6557,5303,129501.0,"30,37",129501.0,1327.0,6.0
2021,2,entre ríos,"61,66",257617.0,15,257632.0,77836,124957,17856,23786,13197,257632.0,"27,62",257632.0,614.0,7.0
2021,2,formosa,"33,23",51551.0,- 0,51551.0,19571,12509,3610,15690,171,51551.0,"23,97",51551.0,3416.0,11.0
2021,2,jujuy,"56,18",111848.0,- 0,111848.0,24738,60800,19611,2731,3968,111848.0,"25,81",111848.0,1399.0,11.0
2021,2,la pampa,"82,08",97551.0,116,97667.0,9017,57014,17132,13209,1295,97667.0,"12,28",97667.0,1444.0,14.0
2021,2,la rioja,"76,98",81599.0,3,81602.0,11627,54255,9445,6245,30,81602.0,"38,53",81602.0,1819.0,8.0
2021,2,mendoza,"40,97",229052.0,619,229671.0,91503,70834,44696,21811,827,229671.0,"13,47",229671.0,1187.0,11.0
2021,2,misiones,"45,01",156176.0,- 0,156176.0,44960,87861,10376,5317,7662,156176.0,"28,68",156176.0,2187.0,16.0
2021,2,neuquén,"69,14",137877.0,373,138250.0,30083,72690,15619,19218,640,138250.0,"36,11",138250.0,2088.0,11.0
2021,2,río negro,"61,94",143583.0,501,144084.0,48189,43761,18727,15031,18376,144084.0,"23,75",144084.0,1616.0,10.0
2021,2,salta,"54,93",191637.0,2,191639.0,51396,96016,32050,5724,6453,191639.0,"29,24",191639.0,1187.0,9.0
2021,2,san juan,"39,28",78677.0,256,78933.0,40072,12369,6673,11372,8447,78933.0,"6,99",78933.0,2740.0,15.0
2021,2,san luis,"83,48",122670.0,148,122818.0,8417,11308,28,66860,36205,122818.0,"21,66",122818.0,2850.0,14.0
2021,2,santa cruz,"44,01",48785.0,197,48982.0,12347,22967,6328,4269,3071,48982.0,"7,63",48982.0,4234.0,17.0
2021,2,santa fe,"75,07",840449.0,151,840600.0,256741,431915,90424,43997,17523,840600.0,"30,7",840600.0,2302.0,14.0
2021,2,santiago del estero,"46,56",114089.0,1,114090.0,20734,83770,909,5081,3596,114090.0,"12,72",114090.0,3835.0,11.0
2021,2,tierra del fuego,"67,89",35404.0,289,35693.0,12853,22504,6,14,316,35693.0,"8,59",35693.0,2638.0,16.0
2021,2,tucumán,"54,93",233026.0,25,233051.0,110429,48359,71683,1837,743,233051.0,"40,31",233051.0,1400.0,14.0
2021,1,buenos aires,"69,11",4054936.0,5066,4060002.0,629679,2452056,821597,98806,57864,4060002.0,"50,79",4060002.0,2847.0,27.0
2021,1,capital federal,"108,42",1378283.0,1390,1379673.0,159805,1145093,39980,5559,29236,1379673.0,"68,29",1379673.0,770.0,19.0
2021,1,catamarca,"48,9",51967.0,1,51968.0,26316,4409,18688,322,2233,51968.0,"39,97",51968.0,2266.0,10.0
2021,1,chaco,"43,14",139767.0,3,139770.0,43214,61251,25426,8004,1875,139770.0,"33,63",139770.0,2612.0,10.0
2021,1,chubut,"68,99",131515.0,825,132340.0,45501,40960,3444,23723,18712,132340.0,"7,53",132340.0,4998.0,15.0
2021,1,córdoba,"78,59",910826.0,55,910881.0,260350,444695,134634,54137,17065,910881.0,"36,17",910881.0,1407.0,19.0
2021,1,corrientes,"42,66",126622.0,3,126625.0,49160,62876,3337,5949,5303,126625.0,"25,99",126625.0,639.0,3.0
2021,1,entre ríos,"60,44",251950.0,13,251963.0,83688,118424,16846,20836,12169,251963.0,"23,87",251963.0,109.0,5.0
2021,1,formosa,"32,73",50686.0,- 0,50686.0,20663,11412,2562,15669,380,50686.0,"20,98",50686.0,3314.0,10.0
2021,1,jujuy,"55,63",110456.0,- 0,110456.0,32254,54324,17322,2677,3879,110456.0,"26,78",110456.0,1358.0,11.0
2021,1,la pampa,"81,78",96989.0,116,97105.0,8946,58711,15779,12369,1300,97105.0,"10,73",97105.0,1246.0,13.0
2021,1,la rioja,"49,81",52625.0,3,52628.0,17363,34984,1,250,30,52628.0,"12,7",52628.0,1412.0,7.0
2021,1,mendoza,"39,15",218308.0,615,218923.0,91844,69295,38619,18332,833,218923.0,"12,6",218923.0,1161.0,11.0
2021,1,misiones,"43,17",149387.0,- 0,149387.0,48292,82339,7064,4796,6896,149387.0,"25,08",149387.0,2071.0,14.0
